company,title,type_of_company,technologies,salary,workplace,location,test_task,date,views,reviews
Recruit-Alliance IT,Data analyst (with knowledge of ukrainian or russian language),Product,,,Тільки віддалено,"Україна, None None",,"26,березня",51,7
United Tech,Marketing Analyst,Product,"SQL, Tableau, AppsFlyer, A/B testing, Firebase",,Тільки віддалено,"Україна, None (Київ)",,"26,березня",71,5
Netpeak Group,Web Analyst / Marketing Data Analyst,Агенція,"Python, SQL, Tableau, Power BI, Google BigQuery, GA4, AppsFlyer",,Office або Remote,"Україна, None None",,"27,березня",95,11
All You Can Books,Business Data Analyst,Outsource,"analytical skills, Business Analysis, Tableau, Excel/Google sheets, SQL, Data Analytics, Data Analyst",,Тільки віддалено,"Сполучені Штати, None None",,"25,березня",136,65
SpeedlineHub,Data Analyst,Product,,,Office або Remote,"Кіпр, Польща,
    Португалія None",,"26,березня",64,13
Evoplay,Data Analyst (Cyprus),Product,,,Тільки офіс,"Релокейт, Україна None",,"25,березня",95,18
Holding.House,Data analyst,Product,,,Тільки віддалено,"Україна, None None",,"25,березня",144,7
WeSoftYou,Middle+/Senior Business Analyst,Outsource,"Business communication skills, Business Analysis, Analysis of business requirements",,Office або Remote,"Україна, None (Київ)",,"25,березня",45,9
Peanut Trade,Research analyst (Defi),Product,"Blockchain, Blockchain and Cryptocurrency",,Гібридна робота,"Україна, None (Київ)",,"25,березня",131,23
SKELAR,Product Analyst,Product,,$1500-3000,Тільки офіс,"Релокейт, Україна (Київ)",Є тестове завдання,"26,березня",75,6
Boosta,Middle Data Science Specialist,Product,,,Office або Remote,"Україна, None (Вінниця, Житомир, Івано-Франківськ
    ",,"25,березня",87,10
Kyivstar,Data analytics and automation auditor,Product,,,Тільки віддалено,"Україна, None None",,"26,березня",39,3
Beetroot,Data Systems Analyst,Outsource,SQL,,Office або Remote,"Болгарія, Польща,
    Україна None",,"26,березня",86,18
Stobox,Web 3 Business Analyst,Product,"Web 3 Business Analyst, Business Analysis",,Тільки віддалено,"Україна, None None",,"26,березня",23,2
Frozeneon,Business Analyst (GameDev),Product,"Analysis and research, iGaming, Business Developement, research, market research",,Тільки віддалено,"Україна, None None",,"26,березня",51,10
dentsu Ukraine,Data Analyst,Агенція,"Excel, PowerPoint, Power BI, R/Python",,Office або Remote,"Україна, None (Київ)",Є тестове завдання,"26,березня",104,10
KaaIoT,Web Analyst,Product,"Marketing Analytics, Analytics, Web Analytics",$600-1000,Тільки віддалено,"Україна, None (Київ)",,"26,березня",321,28
Trading Space,Senior Product Analyst / Head of Analytics,Product,"Data Analytics, data analysis, Head of Analytics, Analytics",,Тільки віддалено,"Україна, None None",,"26,березня",193,34
Evoplay,Business Analyst (Mobile),Product,,,Гібридна робота,"Релокейт, Україна (Київ)",Є тестове завдання,"25,березня",47,6
A-LISTWARE,CVE Analyst,Outstaff,,,Тільки віддалено,"Україна, None None",,"25,березня",15,0
DS Partners,Data Analyst,Product,"betting, Gambling, iGaming, online gambling, Data Analyst",,Тільки офіс,"Україна, None (Київ)",,"25,березня",222,17
Gamzix,BI Analyst,Product,,,Office або Remote,"Україна, None (Київ)",,"26,березня",81,21
CodeSpace,Risk Analyst,Product,"risk management, Analytics, aml",,Гібридна робота,"Україна, None (Київ)",Є тестове
Holding.House,Data analyst,Product,,,Тільки віддалено,"Україна, None None",,"25,березня",144,7
United Tech,Head of Analytics,Product,,,Тільки віддалено,"Україна, None None",Є тестове завдання,"29,березня",47,1
NuxGame,Junior Data Analyst,Product,Data Analyst,,Office або Remote,"Україна, None None",,"29,березня",972,214
SKELAR,Product Analyst,Product,,$1500-3000,Тільки офіс,"Релокейт, Україна (Київ)",Є тестове завдання,"26,березня",75,6
Kyrrex,Business Intelligence Analysis,Product,,,Тільки віддалено,"Україна, None (Київ)",,"28,березня",62,8
